url,type,title,title_len,city,meta,meta_len,h1,h1_count,h2_count,h3_count,question_headings,words,images,images_no_alt,internal_links,external_links,canonical,canonical_self,og_image,stock_og,faq,faq_visible,entity_score,entity_grade,entity_missing,schema_nodes,service,local,review,article,breadcrumb,schema,noindex,has_form,has_video,tel_link,score,grade,recommendations,issues
https://goodsuite.com/,company,"GoodSuite | Managed Services in California | Print, IT & Security",65,True,"Discover the benefits of partnering with Managed Service Provider California GoodSuite for printing, IT, VoIP, and cybersecurity solutions.",139,Technology Simplified,1,12,16,6,909,26,0,93,20,https://goodsuite.com/,True,,False,False,True,80,B,"person, area, contact",8,False,False,False,False,False,"EntryPoint, ImageObject, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,True,True,59,C,"Rewrite the title to 30 to 60 characters | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Name the expert or author as a Person, with a URL that identifies them | Add areaServed or a postal address to the entity | Add contactPoint or a telephone to the Organization",6
https://goodsuite.com/about-goodsuite/,company,About GoodSuite - GoodSuite,27,False,"Discover GoodSuite, your partner for streamlined technology solutions and consistent, responsive support tailored to your needs.",128,We Are GoodSuite,1,13,8,4,560,21,1,83,19,https://goodsuite.com/about-goodsuite/,True,,False,False,True,71,B,"person, area, contact, about",11,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,True,True,47,D,"Rewrite the title to 30 to 60 characters | Add the city or service area to the title | Alt text on every image | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Name the expert or author as a Person, with a URL that identifies them | Add areaServed or a postal address to the entity | Add contactPoint or a telephone to the Organization | Name what the page is about with about, mentions or serviceType",8
https://goodsuite.com/audio-visual-solutions-book-meeting/,form,AV Solutions | Digital & Interactive Displays | GoodSuite,57,False,"Learn how interactive displays and audio visual solutions can bring your presentations, classrooms, and events to life. Contact our team today to learn more.",157,Audio Visual Solutions,1,7,18,4,731,6,0,83,20,https://goodsuite.com/audio-visual-solutions-book-meeting/,True,,False,False,True,45,D,"primary, provider, area, contact",11,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,56,C,"Add the city or service area to the title | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Add the entity this page is about (Service, LocalBusiness, Article or Product) | Link this page's entity to the Organization (provider, publisher or parentOrganization) | Add areaServed or a postal address to the entity | Add contactPoint or a telephone to the Organization",6
https://goodsuite.com/audio-visual-solutions/,service,AV Solutions | Digital & Interactive Displays | GoodSuite,57,False,"Learn how interactive displays and audio visual solutions can bring your presentations, classrooms, and events to life. Contact our team today to learn more.",157,Audio Visual Solutions,1,7,18,4,731,6,0,85,18,https://goodsuite.com/audio-visual-solutions/,True,,False,False,True,48,D,"primary, provider, area, contact, about",11,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,56,C,"Add the city or service area to the title | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Add the entity this page is about (Service, LocalBusiness, Article or Product) | Link this page's entity to the Organization (provider, publisher or parentOrganization) | Add areaServed or a postal address to the entity | Add contactPoint or a telephone to the Organization | Name what the page is about with about, mentions or serviceType",6
https://goodsuite.com/backup-and-disaster-recovery/,service,Backup & Disaster Recovery - GoodSuite,38,False,,0,Backup & Disaster Recovery,1,7,19,6,837,16,0,86,18,https://goodsuite.com/backup-and-disaster-recovery/,True,,False,False,True,48,D,"primary, provider, area, contact, about",11,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,51,D,"Add the city or service area to the title | Write a meta description of 70 to 160 characters | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Add the entity this page is about (Service, LocalBusiness, Article or Product) | Link this page's entity to the Organization (provider, publisher or parentOrganization) | Add areaServed or a postal address to the entity | Add contactPoint or a telephone to the Organization | Name what the page is about with about, mentions or serviceType",7
https://goodsuite.com/backup-disaster-recovery-book-demo/,form,Backup & Disaster Recovery - GoodSuite,38,False,,0,Backup & Disaster Recovery,1,7,19,6,837,16,0,83,21,https://goodsuite.com/backup-disaster-recovery-book-demo/,True,,False,False,True,45,D,"primary, provider, area, contact",11,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,51,D,"Add the city or service area to the title | Write a meta description of 70 to 160 characters | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Add the entity this page is about (Service, LocalBusiness, Article or Product) | Link this page's entity to the Organization (provider, publisher or parentOrganization) | Add areaServed or a postal address to the entity | Add contactPoint or a telephone to the Organization",7
https://goodsuite.com/blog/,company,Blog - GoodSuite,16,False,Check out our blog for in-depth tech insights and analysis. Stay ahead with the latest developments in technology.,114,,0,1,21,9,679,38,0,140,18,https://goodsuite.com/blog/,True,,False,False,False,71,B,"person, area, contact, about",11,False,False,False,False,True,"BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,41,D,"Rewrite the title to 30 to 60 characters | Add the city or service area to the title | Give the page exactly one H1 | Break the copy into two or more H2 sections | Add a five-question FAQ marked up as FAQPage | Add Service schema (or Article schema on a post) | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Name the expert or author as a Person, with a URL that identifies them | Add areaServed or a postal address to the entity | Add contactPoint or a telephone to the Organization | Name what the page is about with about, mentions or serviceType",9
https://goodsuite.com/blog/10-must-read-cybersecurity-facts/,post,10 Must-Read Cybersecurity Facts,32,False,"As various types of cyber attacks become more and more prevalent in our modern digital landscape, cybersecurity’s importance continues to grow, urging it to be pushed to the forefront of businesses’ priorities.",210,10 Must-Read Cybersecurity Facts,1,2,8,1,1497,16,0,102,25,https://goodsuite.com/blog/10-must-read-cybersecurity-facts/,True,https://goodsuite.com/wp-content/uploads/2022/08/10-Must-Read-Cybersecurity-Facts.jpg,False,False,False,96,A,contact,16,False,False,False,True,True,"Article, BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, Person, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,63,C,Add the city or service area to the title | Write a meta description of 70 to 160 characters | Add a five-question FAQ marked up as FAQPage | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Add contactPoint or a telephone to the Organization,5
https://goodsuite.com/blog/10-personal-cyber-security-tips/,post,10 Personal Cyber Security Tips - GoodSuite,43,False,Want to know the best and easiest cyber security tips to keep you and your computer safe from malware and viruses?,114,10 Personal Cyber Security Tips,1,5,8,1,834,16,0,102,19,https://goodsuite.com/blog/10-personal-cyber-security-tips/,True,https://goodsuite.com/wp-content/uploads/2022/03/AdobeStock_797324150.jpeg,True,False,False,96,A,contact,16,False,False,False,True,True,"Article, BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, Person, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,66,C,Add the city or service area to the title | Add a five-question FAQ marked up as FAQPage | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Set a branded share image (og:image) | Add contactPoint or a telephone to the Organization,5
https://goodsuite.com/blog/2021-book-recommendations-by-dan-strull/,post,2021 Book Recommendations by Dan Strull - GoodSuite,51,False,"Top 20 books recommended by GoodSuite CEO, Dan Strull, to read in 2021. Don't miss out on this incredible opportunity to learn and grow!",136,2021 Book Recommendations by Dan Strull,3,2,8,1,2298,25,0,111,28,https://goodsuite.com/blog/2021-book-recommendations-by-dan-strull/,True,https://goodsuite.com/wp-content/uploads/2021/09/many-books-textured-background-top-view-multicolor-P2VMUYE-scaled.jpg,False,False,False,96,A,contact,16,False,False,False,True,True,"Article, BreadcrumbList, EntryPoint, ImageObject, ListItem, Organization, Person, PropertyValueSpecification, ReadAction, SearchAction, WebPage, WebSite",False,True,False,True,63,C,Add the city or service area to the title | Give the page exactly one H1 | Add a five-question FAQ marked up as FAQPage | Add LocalBusiness schema with the office address | Add Review or AggregateRating schema from real Google reviews | Add contactPoint or a telephone to the Organization,5
